k,Good points,Perimeter,circle perimeter,Naive perimeter,Configs computed,Max angle of sol,Longest edge len,Running time in seconds
2747,1389,184.5079888873755,184.58763839537787,185.79510240489293,647424,0.24497866312686423,11,0.631414763
2748,1388,184.53855383758594,184.60081922591152,185.82891714762536,645710,0.24497866312686423,11,0.638843046
2749,1387,184.57772587213665,184.6140000564452,185.86272573830766,644122,0.3217505543966423,12,0.633745775
2750,1388,184.60304893983192,184.65317209099592,185.89652818029637,645357,0.24497866312686423,9,0.651639162
2751,1389,184.64222097438264,184.69234412554667,185.9303244769451,646581,0.3217505543966423,10,0.624561203
2752,1389,184.67683925716335,184.73151616009739,185.96411463160425,647257,0.24497866312686423,10,0.657280354
2753,1389,184.71601129171407,184.77068819464813,185.9978986476213,647950,0.3217505543966423,11,0.657989798
2754,1389,184.75062957449475,184.80986022919885,186.03167652834063,648643,0.24497866312686423,10,0.634985033
2755,1389,184.78119452470523,184.8490322637496,186.06544827710363,649302,0.24497866312686423,10,0.662546919
2756,1390,184.82036655925594,184.8882042983003,186.09921389724857,650584,0.3217505543966423,11,0.659976773
2757,1391,184.85498484203666,184.92737633285103,186.1329733921108,651848,0.24497866312686423,11,0.664174003
2758,1390,184.89415687658737,184.9721065972599,186.16672676502264,651261,0.3217505543966423,12,0.639809436
2759,1389,184.92210857831466,185.0168368616688,186.20047401931328,651030,0.24497866312686423,10,0.642988106
2760,1389,184.94619469033952,185.0615671260777,186.23421515830896,650803,0.24497866312686423,10,0.653577249
2761,1389,184.98536672489024,185.10629739048656,186.26795018533292,650774,0.3217505543966423,11,0.656523628
2762,1389,185.0106897925855,185.15102765489547,186.30167910370542,650393,0.24497866312686423,9,0.66014991
2763,1389,185.04986182713623,185.19575791930436,186.33540191674365,650405,0.3217505543966423,10,0.656817589
2764,1388,185.08448010991694,185.24048818371324,186.36911862776182,650890,0.24497866312686423,10,0.654904507
2765,1387,185.11504506012741,185.28521844812212,186.40282924007113,651099,0.24497866312686423,9,0.638014525
2766,1390,185.14066315340906,185.36354486162998,186.43653375697983,651557,0.24497866312686423,9,0.657498958
2767,1393,185.16474926543395,185.44187127513783,186.4702321817931,651284,0.24497866312686423,9,0.669809958
2768,1395,185.18883537745882,185.52019768864565,186.50392451781326,645757,0.24497866312686423,9,0.660705076
2769,1398,185.22800741200953,185.5985241021535,186.53761076833956,644978,0.3217505543966423,10,0.648215003
2770,1398,185.26262569479024,185.6331423849342,186.57129093666825,644617,0.24497866312686423,10,0.6599392
2771,1398,185.30179772934096,185.66776066771487,186.60496502609269,644151,0.3217505543966423,11,0.654229774
2772,1399,185.33641601212165,185.6788499926551,186.63863303990314,645372,0.24497866312686423,10,0.648285683
2773,1400,185.36698096233212,185.68993931759536,186.67229498138707,646629,0.24497866312686423,10,0.656061283
2774,1401,185.40615299688284,185.70102864253562,186.70595085382882,647886,0.3217505543966423,11,0.659261674
